speaker,text,date,candidate,year,type
WELKER,"vice president biden, your reaction? just 40% of americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. what steps would you take to give americans confidence in a vaccine if it were approved?",10/22/2020,0,2020,Presidential
BIDEN,"make sure it's totally transparent. have the scientific world see, know, look at it, go through all the processes. and by the way, this is the same fellow who told you this is going to end by easter last time. this the same fellow who told you that, don't worry, we're going to end this by the summer. we're about to go into a dark winter, a dark winter, and he has no clear plan and there's no prospect that there's going to be a vaccine available for the majority of the american people before the middle of next year.",10/22/2020,1,2020,Presidential
WELKER,"president trump, your reaction? he says you have no plan.",10/22/2020,0,2020,Presidential
TRUMP,"i don't think it's going to be a dark winter at all. we're opening up our country. we've learned and studied and understand the disease, which we didn't know at the beginning. when i closed and banned china from coming in heavily infected, and then ultimately europe, but china was in january — months later he was saying i was xenophobic, i did it too soon. now he's saying, 'oh, i should have, i should have, you know, moved quicker.' but he didn't move quicker; he was months behind me, many months behind me. and frankly, he ran the h1n1 swine flu, and it was a total disaster. far less lethal. but it was a total disaster. had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. look, his own person who ran that for him who, as you know was his chief of staff, said 'it was catastrophic, it was horrible, we didn't know what we were doing.' now he comes up and he tells us how to do this. also everything that he said about the way — every single move that he said we should make — that's what we've done, we've done all of it, but he was way behind us.",10/22/2020,1,2020,Presidential
WELKER,"vice president biden, your response?",10/22/2020,0,2020,Presidential
BIDEN,"my responses is, he is xenophobic but not because he shut down access from china. and he did it late, after 40 countries had already done that. in addition to that, what he did, he made sure that we had 44 people that were in there, in china, trying to get to wuhan to determine what exactly the source was. what did the president say in january? he said no, he said, this is — he's being transparent, the president of china is being transparent. we owe hkim a debt of gratitude. we have to thank him. and then what happened was, we started talking about using the defense act, to make sure we go out and get whatever is needed out there to protect people. and again, i go back to this, he had nothing. he did virtually nothing. and then he gets out of the hospital, and he talks about we're, this is, 'oh, don't worry. this is all going to be over soon.' come on, there's not another serious scientist in the world who thinks it's going to be over soon.",10/22/2020,1,2020,Presidential
WELKER,"president trump, your reaction?",10/22/2020,0,2020,Presidential
TRUMP,"i did not say over soon. i say we're learning to live with it. we have no choice. we can't lock ourselves up in a basement like joe does. he has the ability to lock himself up. i don't know, he's obviously made a lot of money, someplace, but he has this thing about living in a basement. people can't do that. by the way, i, as the president, couldn't do that. i'd love to put myself in the basement or in a beautiful room in the white house and go away for a year and a half until it disappears. i can't do that. and here's — every, every meeting i had — every meeting i had — and i meet a lot of families, including gold star families and military families, every meeting i had — and i had to meet them, i had to, it would be horrible to have canceled everything. i said, you know, this is dangerous. and you catch it. and you know, i caught it. i learned a lot. i learned a lot, great doctors, great hospitals. and now, i recovered. 99.9 of young people recover. 99% of people recover. we have to recover. we can't close up our nation, we have to open our school, and we can't close up our nation, or you're not going to have a nation.",10/22/2020,1,2020,Presidential
WELKER,"and of course the cdc has said young people can get sick with covid-19 and can pass it. vice president biden, i want to talk broadly about strategy, though.",10/22/2020,0,2020,Presidential
BIDEN,can i respond to that?,10/22/2020,1,2020,Presidential
WELKER,"30 seconds please, and then i have a question.",10/22/2020,0,2020,Presidential
BIDEN,"number one. he says that we're, you know, we're learning to live with it. people are learning to die with it. you folks home will have an empty chair at the kitchen table this morning. that man or wife going to bed tonight and reaching over to try to touch their, out of habit, where their wife or husband was, is gone. learning to live with it? come on. we're dying with it, because he's never said — he said it's dangerous. when's the last time? is it really dangerous, still? are we dangerous? tell the people, is it dangerous now? what should they do about the danger? and you say, i take no responsibility.",10/22/2020,1,2020,Presidential
WELKER,let me talk about —,10/22/2020,0,2020,Presidential
TRUMP,excuse me.,10/22/2020,1,2020,Presidential
WELKER,very quickly.,10/22/2020,0,2020,Presidential
TRUMP,"i take full responsibility. it's not my fault that it came here. it's china's fault. you know what, it's not joe's fault that it came here either. it's china's fault. they kept it from going into the rest of china, for the most part, but they didn't keep it from coming out to the world including europe and ourselves.",10/22/2020,1,2020,Presidential
WELKER,"vice president biden. as tracked is that when we knew was coming, when it hit.",10/22/2020,0,2020,Presidential
BIDEN,"the fact is, when we knew it was coming, when it hit — what happened? what did the president say? he said don't worry, it's going to go away, it's going to be gone by easter. don't worry, the warm weather. don't worry, maybe inject bleach — he said he was kidding when he said that, but a lot of people thought it was serious. a whole range of things the president said. and even today, he thinks we are in control. we're about to lose 200,000 more people",10/22/2020,1,2020,Presidential
WELKER,president trump.,10/22/2020,0,2020,Presidential
TRUMP,"look, perhaps just to finish this, i was kidding on that but just to finish this. when i closed, he said, i shouldn't have closed. and that went on for months. what nancy pelosi said the same thing. she was dancing on the streets in chinatown in san francisco. but when i closed, he said, this is a terrible thing. you're xenophobic. i think he called me racist, even, and because i was closing it to china. now he says i should have closed it earlier. it just joe, it doesn't —",10/22/2020,1,2020,Presidential
BIDEN,i didn't say either of those things.,10/22/2020,1,2020,Presidential
TRUMP,you certainly did.,10/22/2020,1,2020,Presidential
BIDEN,i talked about his xenophobia in a different context. it wasn't about closing the border to chinese coming to the united states.,10/22/2020,1,2020,Presidential
WELKER,"all right, i want to talk about both of your different strategies to handling this.",10/22/2020,0,2020,Presidential
TRUMP,he thought i shouldn't have closed the border. that's obvious.,10/22/2020,1,2020,Presidential
WELKER,"do you wanna respond to that quickly, vice president?",10/22/2020,0,2020,Presidential
BIDEN,no.,10/22/2020,1,2020,Presidential
WELKER,"ok, let's talk about your different strategies toward dealing with this. mr. vice president, you suggested you would support new shutdowns if scientists recommended it. what do you say to americans who are fearful that the cost of shutdowns, the impact on the economy, the higher rates of hunger depression, domestic and substance abuse, outweighs the risk of exposure to the virus?",10/22/2020,0,2020,Presidential
BIDEN,"what i would say is i'm going to shut down the virus, not the country. it's his ineptitude that caused the country to have to shut down in large part — why businesses have gone under, why schools are closed, why so many people have lost their living and why they're concerned. those other concerns are real. that's why he should have been — instead of in a sand trap at his golf course — he should have been negotiating with nancy pelosi and the rest of the democrats and republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity.",10/22/2020,1,2020,Presidential
WELKER,you haven't ruled out more shutdowns,10/22/2020,0,2020,Presidential
BIDEN,"oh no, i'm not shutting down the nation but there are, look, they need standards. the standard is, if you have a reproduction rate in a community that's above a certain level, everybody says, slow up. more social distancing. do not open bars and do not open gymnasiums. do not open until you get this under control, under more control. but when you do open, give the people the capacity to be able to open and have the capacity to do it safely. for example schools — schools, they need a lot of money to open. they need to deal with ventilation systems, they need to deal with smaller classes, more teacher, more pods, and he's refused to support that money, or at least up to now",10/22/2020,1,2020,Presidential
WELKER,let's talk about schools. president trump —,10/22/2020,0,2020,Presidential
TRUMP,"well, i think we have to respond, if i might.",10/22/2020,1,2020,Presidential
WELKER,"please, and then i have a follow up.",10/22/2020,0,2020,Presidential
TRUMP,"thank you, and i appreciate that. look, all he does is talk about shutdowns but forget about him. his democrat governors — cuomo in new york, you look at what's going on in california, you look at pennsylvania, north carolina, democrats, democrats all — they are shut down so tight, and they're dying. they're dying. and he supports all these people. all he talks about is shutdowns no, we're not going to shut down, and we have to open our schools. and it's like, as an example, i have a young son. he also tested positive. by the time i spoke to the doctor, the second time, he was fine, it just went away. young people, i guess it's their immune system.",10/22/2020,1,2020,Presidential
WELKER,"let me follow up, president trump. you've demanded schools open in person and insisted they can do it safely. but just yesterday, boston became the latest city to move its public school system entirely online after a coronavirus spike. what is your message to parents who worry that sending their children to school will endanger not only their kids, but also their teachers and families?",10/22/2020,0,2020,Presidential
TRUMP,"i want to open the schools. the transmittal rate to the teachers is very small, but i want to open the schools. we have to open our country. we're not going to have a country. you can't do this, we can't keep this country closed. it is a massive country with a massive economy. people are losing their jobs, they're committing suicide. there's depression, alcohol, drugs at a level that nobody's ever seen before. there's abuse, tremendous abuse. we have to open our country. you know i've said it often — the cure cannot be worse than the problem itself, and that's what's happening, and he wants to close down. he'll close down the country if one person in our, in our massive bureaucracy says we should close it down.",10/22/2020,1,2020,Presidential
WELKER,"vice president biden, your —",10/22/2020,0,2020,Presidential
BIDEN,"simply not true. we're gonna be able to walk and chew gum at the same time. we ought to be able to safely open, but we need resources to open. you need to be able to, for example, if you're gonna open a business, have social distancing within the business. you need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another. you need to be in a position where you can take testing rapidly and know whether a person is, in fact, infected. you need to be able to trace. you need to be able to provide all the resources that are needed to do this and that is not inconsistent with saying that we're going to make sure that we open safely. and by the way, all you teachers out there — not that many of you are going to die, so don't worry about it. don't worry about it. come on.",10/22/2020,1,2020,Presidential
WELKER,"president trump, let me follow up with you quickly.",10/22/2020,0,2020,Presidential
TRUMP,"i will say this, if you go and look at what's happened to new york, ut's a ghost town. it's a ghost town. and when you talk about plexiglas — these are restaurants that are dying. these are businesses with no money. putting the plexiglas is unbelievably expensive, and it's not the answer. i mean, you're going to sit there in a cubicle wrapped around with plastic? these are businesses that are dying, joe, you can't do that to people, which again, take a look at new york and what's happened to my wonderful city. for so many years, i loved it. it was vibrant. it's dying. everyone's leaving new york.",10/22/2020,1,2020,Presidential
WELKER,vice president.,10/22/2020,0,2020,Presidential
BIDEN,"take a look what new york has done in terms of turning the curve down, in terms of the number of people dying. and i don't look at this in terms of what he does, blue states and red states. they're all the united states. and look at the states that are having such a spike in the coronavirus. they're the red states. they are the states in the midwest, they are the states in the upper midwest, that's where the spike is occurring significantly, but they're all americans. they're all americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need. the money's already been passed to do that. it's been out there since the beginning of this summer and nothing's happened.",10/22/2020,1,2020,Presidential
TRUMP,"new york has lost more than 40,000 people. 11,000 people in nursing.",10/22/2020,1,2020,Presidential
WELKER,"president trump, what about —",10/22/2020,0,2020,Presidential
TRUMP,"when you say spike, take a look at what's happening in pennsylvania, where they've had it closed. take a look at what's happening with your friend in michigan, where her husband's the only one allowed to do anything. it's been like a prison. now it was just ruled unconstitutional. take a look at north carolina. they're having spikes and they've been closed, and they're getting killed financially. we can't let that happen, joe, you can't let that happen. we have to open up and we understand that disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them. we have the best testing in the world by far. that's why we have so many cases.",10/22/2020,1,2020,Presidential
WELKER,"let me follow up with you before we move on to our next section. president trump, this week you called dr. anthony fauci, the nation's best known infectious disease expert, ""a disaster."" you described him and other medical experts as ""idiots."" if you're not listening to them, who are you listening to?",10/22/2020,0,2020,Presidential
TRUMP,"i'm listening to all of them, including anthony. i get along very well with anthony. but he did say, 'don't wear masks.' he did say, as you know, 'this is not going to be a problem.' i think he's a democrat, but that's okay. he said, 'this is not going to be a problem. we are not going to have a problem at all.' when joe says that, i said — anthony fauci said and others and many others. and i'm not knocking him. nobody knew. look, nobody knew what this thing was, nobody knew where it was coming from, what it was. we've learned a lot, but anthony said, 'don't wear masks.' now he wants to wear masks. anthony also said, if you look back, exact words, here's his exact words: 'this is no problem, this is going to go away soon.' so he's allowed to make mistakes, he happens to be a good person.",10/22/2020,1,2020,Presidential
WELKER,"vice president biden, your response, quickly and then we're going to move on to the next section.",10/22/2020,0,2020,Presidential
BIDEN,"my response is think about what the president knew in january and didn't tell the american people. he was told this was a serious virus that spread in the air, and it was much worse than — much worse — than the flu. he went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn't want to tell us, didn't want to tell us because he didn't want us to panic. he didn't want us — americans don't panic. he panicked. well, guess what, in the meantime, we find out in the new york times the other day that in fact, his folks went to wall street and said, 'this is a really dangerous thing,' and a memo out of that meeting — not from his administration, but from some of the brokers — had said, 'sell short, because we gotta get moving. it's a dangerous problem.'",10/22/2020,1,2020,Presidential
TRUMP,well this is —,10/22/2020,1,2020,Presidential
WELKER,i'm going to give you 30 seconds to respond and then we're gonna move on.,10/22/2020,0,2020,Presidential
TRUMP,"i don't know if somebody went to wall street. you're the one that takes all the money from wall street. i don't take it. you have raised a lot of money, tremendous amounts of money. and every time you raise money, deals are made. i could raise so much more money. as president and as somebody that knows most of those people, i could call the heads of wall street, the heads of every company in america, i would blow away every record. but i don't want to do that because it puts me in a bad position. and then you bring up wall street? you shouldn't be bringing up wall street. because you're the one that takes the money from wall street, not me. i could blow away your records like you wouldn't believe. we don't need money. we have plenty of money. in fact, we beat hillary clinton with a tiny fraction of the money that she was able to get. don't tell me about wall street.",10/22/2020,1,2020,Presidential
WELKER,"all right, gentlemen, we're gonna move on.",10/22/2020,0,2020,Presidential
BIDEN,"average contribution, $43.",10/22/2020,1,2020,Presidential
WELKER,"all right, we're gonna move on to our next section which is national security. and i do want to start with the security of our elections and some breaking news from overnight. just last night, top intelligence officials confirmed again that both russia and iran are working to influence this election. both countries have obtained u.s. voter registration information, these officials say, and iran sent intimidating messages to florida voters. this question goes to you, mr. vice president, what would you do to put an end to this threat? you have two minutes, uninterrupted.",10/22/2020,0,2020,Presidential
BIDEN,"i made it clear. and i asked everyone else to take the pledge. i made it clear that any country, no matter who it is, that interferes in american elections will pay a price. they will pay the price. it has been overwhelmingly clear in this election — i won't even get into the last one — this election, that russia has been involved. china has been involved to some degree, and now we learned that, that iran is involved. they will pay a price if i'm elected. interfering with american sovereignty. that's what's going on right now. they're interfering with american sovereignty. and to the best of my knowledge, i don't think the president said anything to putin about it. i don't think he's talking a lot. i don't think he said a word. i don't know why he hasn't said a word to putin about it. and i don't know what he has recently said, if anything, to the iranians. my guess is he'd probably be more outspoken with regard to the iranians. but the point is this, folks. we are in a situation where we have foreign countries trying to interfere in the outcome of our election. his own national security advisor told him that what is happening with his buddy — well, i won't, i shouldn't — i will — his buddy rudy giuliani. he's being used as a russian pawn. he's being fed information that is russian, that is not true. and then what happens? nothing happens. and then you find out that everything is going on here about russia is wanting to make sure that i do not get elected the next president of the united states because they know i know them, and they know me. i don't understand why this president is unwilling to take on putin when he's actually paying bounties to kill american soldiers in afghanistan, when he's engaged in activities that are trying to destabilize all of nato. i don't know why he doesn't do it but it's worth asking the question. why isn't that being done? any country that interferes with us will, in fact, pay a price because they're affecting our sovereignty.",10/22/2020,1,2020,Presidential
WELKER,"president trump, same question to you. let me, let me ask the question. you're gonna have two minutes to respond for two elections in a row now there has been substantial interference from foreign adversaries. what would you do in your next term to put an end to this? two minutes, uninterrupted.",10/22/2020,0,2020,Presidential
TRUMP,"well, let me respond to the first part, as joe answered. joe got three and a half million dollars from russia. and it came through putin, because he was very friendly with the former mayor of moscow and it was the mayor of moscow's wife. he got three and a half million dollars. your family got three and a half million dollars and you know someday, you're gonna have to explain — why did you get three and a half? i never got any money from russia. i don't get money from russia. now, about your thing last night, i knew all about that, and through john — who is john radcliffe, who is a fantastic dni — he said, the one thing that's common to both of them, they both want you to lose. because there has been nobody tougher to russia. between the sanctions, nobody tougher than me on russia. between the sanctions between all of what i've done with nato. you know, i've got the nato countries to put up an extra 130 billion, going to $420 billion a year, that's to guard against russia. i sold — while he was selling pillows and sheets — i sold tank busters to ukraine. there has been nobody tougher on russia than donald trump. and i'll tell you, they were so bad. they took over the, the submarine port. you remember that very well during your term, during you and barack obama. they took over a big part of what should have been ukraine. you handed it to them. but you were getting a lot of money from russia. they were paying you a lot of money and they probably still are, but now, with what came out today, it's even worse. all of the emails, the emails are horrible. the emails of the kind of money that you were raking in, you and your family. and joe, you were vice president when some of this was happening. and it should have never happened. and i think you owe an explanation to the american people. why is it, somebody just had a news conference a little while ago, who was essentially supposed to work with you and your family, but what he said was damning. and regardless of me, i think you have to clean it up and talk to the american people. maybe you can do it right now.",10/22/2020,1,2020,Presidential
WELKER,"vice president biden, you may respond to follow up on the election security.",10/22/2020,0,2020,Presidential
BIDEN,"i have not taken a penny from any foreign source ever in my life. we learn that this president paid 50 times the tax in china, as a secret bank account with china, does business in china, and in fact, is talking about me taking money? i have not taken a single penny from any country whatsoever, ever, number one. number two, this is a president — i have released all of my tax returns. 22 years. go look at them. 22 years of my tax return. you have not released a single solitary year of your tax return. what are you hiding? why are you unwilling? the foreign countries are paying you a lot. russia is paying you a lot. china is paying a lot. and your hotels and all your businesses all around the country, all around the world. and china's building a new road to a new gas… a golf course you have overseas. so what's going on here? why don't you release your tax return or stop talking about corruption?",10/22/2020,1,2020,Presidential
WELKER,"president trump, your response.",10/22/2020,0,2020,Presidential
TRUMP,"first of all, i called my accounts — under audit. i'm going to release them as soon as we can. i want to do it, and it will show how successful, how great this company is. but much more importantly than that, people were saying $750. i asked them a week ago, i said, what did i pay? they said, sir, you pre-paid tens of millions of dollars. i prepaid my tax. tens. over the last number of years. tens of millions of dollars, i prepaid, because at some point, they think, it's an estimate. they think i may have to pay tax. so, i already prepaid it. nobody told me that.",10/22/2020,1,2020,Presidential
WELKER,did your accountant tell you —,10/22/2020,0,2020,Presidential
TRUMP,"excuse me. and it wasn't written whenever they write this. they keep talking about $750, which i think is a filing fee. but let me just tell you, i prepaid millions and millions of dollars in taxes, number one. number two, i don't make money from china, you do. i don't make money from ukraine, you do. i don't make money from russia. you made three and a half million dollars, joe, and your son gave you. they even have a statement that we have to give 10% to the big man. you're the big man, i think. i don't know, maybe you're not. but you're the big man, i think. you son said that we have to give 10% to the big man. joe, what's that all about? it's terrible.",10/22/2020,1,2020,Presidential
WELKER,"all right, gentlemen, i want to ask you both some questions about all of this. i'm gonna let you both respond, very quickly. you just said you spoke to your accountant about potentially releasing your taxes. did he tell you when you can release them? do you have a deadline for when you're going to release them to the american people?",10/22/2020,0,2020,Presidential
TRUMP,"i get treated worse than the tea party got treated. a lot of people in there, deep down in the irs, they treat me horribly. we made a deal, it was all settled, until i decided to run for president. i get treated very badly by the irs, very unfairly, but we had a deal all done. as soon as we're completed with the deal, i want to release it. but i have paid millions and millions of dollars. and it's worse than paying. i paid in advance. it's called prepaying your taxes. i paid.",10/22/2020,1,2020,Presidential
WELKER,i want to ask you both about questions regarding your potential foreign entanglements and questions that have been raised to give you both a chance to talk about this more broadly.,10/22/2020,0,2020,Presidential
BIDEN,at some point i want to respond.,10/22/2020,1,2020,Presidential
WELKER,"respond very quickly, and then i'll get to my question.",10/22/2020,0,2020,Presidential
BIDEN,"why do he — he's been saying this for four years. show us. just show us. stop playing around. you've been saying for four years you're going to release your taxes. nobody knows, mr. president, they do know is you're not paying your taxes or you're paying taxes that are so low. when last time he said what he paid, he said, 'i only pay that little because i'm smart. i know how to game the system.' come on, come on, folks.",10/22/2020,1,2020,Presidential
WELKER,"quickly, president trump, and then i want to get to two questions to both of you.",10/22/2020,0,2020,Presidential
TRUMP,"i was put through a phony witch hunt for three years. it started before i even got elected. they spied on my campaign. no president should ever have to go through what i went through. let me just say this. mueller and 18 angry democrats, and fbi agents all over the place spent, $48 million. they went through everything i had, including my tax returns, and they found absolutely no collusion and nothing wrong. $48 million. i guarantee you, if i spent 1 million on you joe, i could find plenty wrong, because the kind of things that you've done and the kind of monies that your family has taken — i mean, your brother made money in iraq, millions of dollars. your other brother made a fortune, and it's all through you, joe. and they say you get some of it. and you do live very well. you have houses all over the place. you live very well.",10/22/2020,1,2020,Presidential
WELKER,"all right, gentlemen, let me just ask some questions about all of this broadly. vice president biden, there have been questions about the work your son has done in china, and for ukrainian energy company when you were vice president. in retrospect, was anything about those relationships inappropriate or unethical?",10/22/2020,0,2020,Presidential
BIDEN,"nothing was unethical. here's what the deal. with regard to ukraine, we had this whole question about whether or not, because he was on the board, i later learned, of burisma, a company, that somehow i had done something wrong. yet every single solitary person, when he was going through his impeachment, testifying under oath who worked for him, said i did my job impeccably. i carried out us policy. not one, single, solitary thing was out of line. not a single thing, number one. number two, the guy who got in trouble in ukraine was this guy, trying to bribe the ukrainian government to say something negative about me, which they would not do, and did not do, because it never, ever, ever happened. my son has not made money in terms of this thing about — what are you talking about — china. i have not had it. the only guy that made money from china is this guy. he's the only one. nobody else has made money from china.",10/22/2020,1,2020,Presidential
WELKER,let me ask my question to you.,10/22/2020,0,2020,Presidential
TRUMP,could i just — one thing.,10/22/2020,1,2020,Presidential
WELKER,very quickly.,10/22/2020,0,2020,Presidential
TRUMP,"his son didn't have a job for a long time, was sadly no longer in the military service, i won't get into that. and he didn't have a job. as soon as he became vice president, burisma — not the best, not the best reputation in the world — i hear they paid him 183,000 a month. listen to this, 183, and they gave him a $3 million upfront payment, and he had no energy experience. that's 100% dishonest.",10/22/2020,1,2020,Presidential
WELKER,i'm going to let the vice president respond to that quickly and then i have a question for you.,10/22/2020,0,2020,Presidential
BIDEN,"no basis for that. everybody investigated that, no one said anything he did was wrong in ukraine.",10/22/2020,1,2020,Presidential
WELKER,"ok, president trump, this is for you. since you took office, you've never divested from your business. you've personally promoted your properties abroad. a report this week, which was referenced, does indicate that your company has a bank account in china. so how can voters know that you don't have any foreign conflicts of interest?",10/22/2020,0,2020,Presidential
TRUMP,"i have many bank accounts and they're all listed and they're all over the place. i mean, i was a businessman doing business. the bank account you're referring to — which is, everybody knows about it, it's listed — the bank account was in 2013. that's what it was. it was opened. it was closed in 2015, i believe, and then i decided, because i was going to do, i was thinking about doing a deal in china, like millions of other people, i was thinking about it. and i decided i'm not going to do it, didn't like it, i decided not to do it, had an account open and i closed it.",10/22/2020,1,2020,Presidential
WELKER,ok.,10/22/2020,0,2020,Presidential
TRUMP,"excuse me, and then unlike him, where he's vice president, and he does business, i then decided to run for president after that. that was before. so i closed it before i even ran for president, let alone became president, big difference. he is the vice president of the united states, and his son, his brother and his other brother are getting rich, they're like a vacuum cleaner, there's something —",10/22/2020,1,2020,Presidential
WELKER,"we do need to move on. i do want to ask you, vice president biden, about china. let's talk about china more broadly. there have, of course, president trump has said that they should pay for not being fully transparent in regards to the coronavirus. if you were president, would you make china pay and please be specific, what would that look like?",10/22/2020,0,2020,Presidential
BIDEN,"what i'd make china do is play by the international rules, not like he has done. he has caused the deficit in china to go up not down — with china, go up not down. we are making sure that in order to do business in china, you have to give all your intellectual property. you have to get/have a partner in china, it is 51%. we would not do that at all, number one. number two, we're in a situation where china would have to play by the rules internationally as well. when i met with xi, and when i was still vice president, he said 'we're setting up air identification zones in the south china sea, you can't fly through them.' i said, 'we're gonna fly through them. we just flew b52/b1 bombers through it. we're not going to pay attention.' they have to play by the rules, and what's he do? he embraces guys like the thugs like in north korea, and, and, and the chinese president and putin and others, and he pokes his finger in the eye of all our friends, all of our allies. we make up only — we' re 25%. 25% of the world's economy. we need to be having the rest of our friends with us, saying to china, these are the rules. you play by them or you're going to pay the price for not paying by them, economically. that's the way i will run it. and that's what we did and upholding steel tariffs and a range of other things when we were president and vice president.",10/22/2020,1,2020,Presidential
WELKER,"all right, let's talk about north korea.",10/22/2020,0,2020,Presidential
TRUMP,"excuse me, no, i have to respond to this.",10/22/2020,1,2020,Presidential
WELKER,"ok, very quickly and then we're gonna have...",10/22/2020,0,2020,Presidential
TRUMP,his son walked out with a billion and a half dollars from china —,10/22/2020,1,2020,Presidential
BIDEN,not true.,10/22/2020,1,2020,Presidential
TRUMP,"— after spending 10 minutes in office and being an air force two, number one. number two, there's a very strong email, talking about your family wanting to make $10 million a year for introductions.",10/22/2020,1,2020,Presidential
BIDEN,that is not true.,10/22/2020,1,2020,Presidential
WELKER,"president trump, on china policy, though. what are you gonna do? what specifically are you going to do to make china pay?",10/22/2020,0,2020,Presidential
TRUMP,"first of all, china is paying. they're paying billions and billions of dollars. i just gave $28 billion.",10/22/2020,1,2020,Presidential
WELKER,through sanctions?,10/22/2020,0,2020,Presidential
TRUMP,i just gave $28 billion to our farmers.,10/22/2020,1,2020,Presidential
BIDEN,taxpayers money.,10/22/2020,1,2020,Presidential
TRUMP,it's what?,10/22/2020,1,2020,Presidential
BIDEN,taxpayers money.,10/22/2020,1,2020,Presidential
