variable,description_original,scale,mean_fulldset,mean_subset,t_tstat,t_pval,t_degfree,w_pval,f_pval,f_oddsratio,f_conflow,f_confhigh,numerical_type,category,description
V201115,PRE: How hopeful R feels about how things are going in the country,1. Not at all 2. A little 3. Somewhat 4. Very 5. Extremely,2.5,2.22,2.52,0.0134,91.4,0.037,NA,NA,NA,NA,ordinal,New New Variables,How Hopeful about how things are going in US
V202430,POST: CSES5‐Q11: State of economy better or worse over past 12 months,"1. Gotten much better, 2. Gotten somewhat better, 3. Stayed about the same, 4. Gotten somewhat worse, 5. Gotten much worse",3.66,3.93,-2.46,0.0159,89.3,0.1932,NA,NA,NA,NA,ordinal,Review of State of Union/ Government's Job,State of Economy - 12months
V201400x,PRE: SUMMARY: How much larger is income gap today,1. Much larger 2. Somewhat larger 3. About the same 4. Somewhat smaller 5. Much smaller,1.7,1.48,2.45,0.0163,91.7,0.0472,NA,NA,NA,NA,ordinal,New New Variables,Income Gap - Today vs. 20Yrs Ago
V201368,PRE: How important elected officials face serious consequences for misconduct,1. Not important at all 2. A little important 3. Moderately important 4. Very important 5. Extremely important,4.64,4.44,2.26,0.0264,89.5,0.0081,NA,NA,NA,NA,ordinal,New New Variables,Importance: Elected Officials consequences if misconduct
V201121,PRE: How proud R feels about how things are going in the country,1. Not at all 2. A little 3. Somewhat 4. Very 5. Extremely,2,1.79,2.24,0.0276,92.5,0.2231,NA,NA,NA,NA,ordinal,New New Variables,How Proud about how things are going in US
V201119,PRE: How happy R feels about how things are going in the country,1. Not at all 2. A little 3. Somewhat 4. Very 5. Extremely,1.92,1.72,2.22,0.0291,92,0.1375,NA,NA,NA,NA,ordinal,New New Variables,How Happy about how things are going in US
V202468x,PRE‐POST: SUMMARY: Total (family) income,"1. <-> 22.: 1. Under $9,999, 22. $250,000+",12.41,10.95,2.04,0.0448,88.6,0.0457,NA,NA,NA,NA,continuous,Demographic,Family income
V201225x,PRE: SUMMARY: Voting as duty or choice,1. Very strongly a duty 2. Moderately strongly a duty 3. A little strongly a duty 4. Neither a duty nor a choice 5. A little strongly a choice 6. Moderately strongly a choice 7. Very strongly a choice,3.01,3.56,-2.03,0.0454,90.3,0.0368,NA,NA,NA,NA,ordinal,New New Variables,Is Voting a Duty or a Choice
V202162,POST: Feeling Favourability Rating: labor unions,"0-100 scale: 0 Terrible, 100 Great",58.06,62.82,-1.94,0.0559,88.9,0.0465,NA,NA,NA,NA,continuous,Beliefs,Favourability Rating: Labor Unions
V202138y,POST: Office recall: Vice‐President ‐ Mike Pence [coded],"0. Incorrect, 1. Correct",0.95,0.9,1.71,0.0913,89.3,0.0147,0.0364,0.43,0.21,0.98,binary,Information Level,Recall: VP Pence
V201366,PRE: How important that news organizations free to criticize,1. Not important at all 2. A little important 3. Moderately important 4. Very important 5. Extremely important,3.8,3.57,1.69,0.0951,91,0.0356,NA,NA,NA,NA,ordinal,New New Variables,Importance: News Orgs. be free to criticize
